beta_x/theta_E,beta_y/theta_E,theta1_x/theta_E,theta1_y/theta_E,theta2_x/theta_E,theta2_y/theta_E
0.80629741,0.3450871,1.40699738,0.60218059,-0.60069997,-0.25709349
0.84965386,0.3644422,1.43729223,0.61649805,-0.58763837,-0.25205585
0.87807643,0.40166933,1.44884563,0.66276333,-0.57076921,-0.261094
0.76108921,0.49406949,1.30159886,0.84494731,-0.54050964,-0.35087782
0.8811305,0.34180845,1.47172891,0.5709136,-0.59059841,-0.22910515
0.79877666,0.50239248,1.33536827,0.83988305,-0.5365916,-0.33749056
0.7952812,0.46417516,1.34843963,0.78703253,-0.55315843,-0.32285737
0.77390978,0.34542802,1.37872551,0.61538236,-0.60481572,-0.26995433
0.7917011,0.28266072,1.41743711,0.506067,-0.62573602,-0.22340628
0.83475383,0.31674649,1.44126337,0.54688592,-0.60650954,-0.23013943
0.78819707,0.42871808,1.35691053,0.7380541,-0.56871346,-0.30933602
0.75435616,0.49207317,1.29574664,0.84522695,-0.54139048,-0.35315378
0.72150248,0.36566176,1.32292581,0.67046669,-0.60142333,-0.30480493
0.82804479,0.4499054,1.38535582,0.75271178,-0.55731103,-0.30280637
0.7566752,0.4551349,1.31506853,0.79100462,-0.55839333,-0.33586973
0.79753927,0.31417083,1.41103707,0.55584309,-0.61349781,-0.24167226
0.81248143,0.28304435,1.43425061,0.49965024,-0.62176918,-0.21660588
0.84116302,0.48454579,1.38377314,0.79711237,-0.54261012,-0.31256658
0.73286681,0.32045313,1.35322913,0.59171259,-0.62036232,-0.27125945
0.85021747,0.29780457,1.46021101,0.51146622,-0.60999354,-0.21366165
0.8670649,0.37761719,1.44769176,0.63048718,-0.58062686,-0.25286998
0.85025835,0.48310513,1.3929549,0.79145786,-0.54269654,-0.30835273
0.72477156,0.39235425,1.31353436,0.71108031,-0.5887628,-0.31872606
0.82317051,0.36408462,1.41447351,0.62561528,-0.591303,-0.26153066
0.86254512,0.34822408,1.45394092,0.58698059,-0.59139581,-0.23875651
0.81254552,0.44237403,1.37396182,0.74802582,-0.5614163,-0.30565179
0.77545542,0.4474461,1.33670259,0.77129174,-0.56124716,-0.32384564
0.84545481,0.44918328,1.40179062,0.74475997,-0.5563358,-0.2955767
0.87166105,0.35696837,1.45873021,0.5973888,-0.58706916,-0.24042043
0.85900574,0.3456718,1.45180783,0.5842208,-0.59280209,-0.238549
0.86759789,0.32260565,1.46661687,0.54534352,-0.59901898,-0.22273787
0.87875017,0.41985835,1.44296598,0.68943521,-0.56421581,-0.26957687
0.71980213,0.42855081,1.29147255,0.76890798,-0.57167042,-0.34035717
0.79964531,0.42629479,1.36861189,0.72961364,-0.56896658,-0.30331885
0.73477111,0.45991354,1.29122197,0.80821151,-0.55645086,-0.34829797
0.77993751,0.50933347,1.31360755,0.85784345,-0.53367004,-0.34850998
0.81566605,0.47821966,1.3620444,0.79855771,-0.54637835,-0.32033805
0.79407341,0.49242668,1.33506138,0.82790816,-0.54098798,-0.33548147
0.71876728,0.42078073,1.29421807,0.75766112,-0.5754508,-0.3368804
0.77646421,0.38181887,1.36598525,0.6717102,-0.58952103,-0.28989134
0.83790817,0.37529185,1.42316261,0.63742227,-0.58525444,-0.26213042
0.74348506,0.45625205,1.30159567,0.79874596,-0.55811062,-0.34249392
0.70479218,0.41137769,1.28517024,0.75013654,-0.58037806,-0.33875885
0.77828634,0.4778956,1.32596109,0.81418744,-0.54767475,-0.33629185
0.78872693,0.281772,1.41531433,0.50561979,-0.6265874,-0.22384779
0.85762901,0.46193346,1.40810542,0.75842935,-0.55047641,-0.29649589
0.73912969,0.50256926,1.27533475,0.86716045,-0.53620506,-0.36459119
0.83732175,0.28955133,1.45232779,0.50222444,-0.61500604,-0.21267311
0.82230444,0.46327044,1.3745412,0.77438997,-0.55223675,-0.31111952
0.74262029,0.33442383,1.3558237,0.61056742,-0.61320341,-0.27614359
0.76492092,0.49736666,1.30393892,0.84784679,-0.539018,-0.35048013
0.90750204,0.43898018,1.46185334,0.707133,-0.55435129,-0.26815282
0.73373327,0.30408226,1.36085501,0.56398134,-0.62712174,-0.25989908
0.89037751,0.33848097,1.48052625,0.56282864,-0.59014874,-0.22434767
0.77565334,0.34437768,1.3806743,0.61299731,-0.60502096,-0.26861963
0.82197564,0.38574626,1.40518374,0.65944092,-0.5832081,-0.27369466
0.74990071,0.44971792,1.31093881,0.78617432,-0.5610381,-0.3364564
0.77786109,0.45253378,1.33676934,0.77768806,-0.55890824,-0.32515428
0.73067598,0.45822281,1.28794396,0.80769769,-0.55726799,-0.34947488
0.78255754,0.30205889,1.40292611,0.54151457,-0.62036857,-0.23945567
0.86522008,0.38443271,1.44368939,0.64145694,-0.57846932,-0.25702423
0.72735154,0.33216796,1.34331472,0.61346692,-0.61596317,-0.28129896
0.75227853,0.48489313,1.29698791,0.83599425,-0.54470938,-0.35110112
0.85267197,0.30898515,1.45865872,0.52857828,-0.60598674,-0.21959313
0.74270953,0.45211487,1.30276909,0.79304393,-0.56005956,-0.34092906
0.72817946,0.30640579,1.35511783,0.57021101,-0.62693837,-0.26380522
0.89232102,0.37607851,1.46998804,0.61954262,-0.57766702,-0.24346412
0.81030876,0.35120774,1.40815106,0.61032729,-0.5978423,-0.25911955
0.76881293,0.48452802,1.31364888,0.82789932,-0.54483595,-0.34337129
0.73439877,0.4791295,1.28168011,0.8361816,-0.54728133,-0.35705211
0.70706104,0.33991821,1.3216489,0.63538013,-0.61458786,-0.29546192
0.72278299,0.4904493,1.26434736,0.85793147,-0.54156437,-0.36748217
0.75129959,0.45926598,1.30789615,0.79951089,-0.55659655,-0.34024491
0.77655175,0.42591264,1.34718498,0.73888587,-0.57063322,-0.31297322
0.72530628,0.36305783,1.32761955,0.66455052,-0.60231327,-0.3014927
0.78027407,0.30716273,1.39911255,0.55077471,-0.61883848,-0.24361198
0.82418372,0.44360413,1.38430376,0.74508007,-0.56012004,-0.30147594
0.81771209,0.35888015,1.41167923,0.61956239,-0.59396715,-0.26068224
0.78901621,0.30372782,1.40771007,0.54189091,-0.61869386,-0.23816309
0.85677817,0.32808026,1.45583153,0.55747171,-0.59905335,-0.22939144
0.90107168,0.43561872,1.45728296,0.70451636,-0.55621128,-0.26889764
0.78576875,0.34950715,1.38746542,0.6171397,-0.60169667,-0.26763255
0.70234725,0.39521546,1.29076539,0.72632225,-0.58841814,-0.33110679
0.9068305,0.35561854,1.48893314,0.58389327,-0.58210264,-0.22827473
0.91049746,0.38053161,1.48410862,0.62026559,-0.57361116,-0.23973398
0.74908102,0.41399994,1.32653779,0.73314707,-0.57745676,-0.31914713
0.85355562,0.36176252,1.44159866,0.61099283,-0.58804304,-0.24923031
0.83497073,0.35111978,1.42942947,0.60110006,-0.59445874,-0.24998028
0.75553223,0.40798905,1.33533561,0.72108413,-0.57980338,-0.31309509
0.84680896,0.47129111,1.39437172,0.77603689,-0.54756276,-0.30474579
0.84892391,0.33636541,1.44645809,0.57312377,-0.59753418,-0.23675836
0.75376561,0.49664144,1.29303273,0.851954,-0.53926712,-0.35531257
0.77755353,0.48187859,1.32347041,0.8202034,-0.54591688,-0.33832481
0.87692577,0.40746491,1.44577865,0.67178327,-0.56885288,-0.26431836
0.76360821,0.50529657,1.2989979,0.85957585,-0.53538969,-0.35427929
0.87370058,0.36497539,1.45776284,0.60895869,-0.58406226,-0.2439833
0.82826341,0.36280707,1.41937816,0.62173509,-0.59111475,-0.25892802
0.74321109,0.35207685,1.34874815,0.63893423,-0.60553707,-0.28685738
0.76192325,0.32757299,1.3755109,0.59137218,-0.61358765,-0.26379919
0.86492177,0.41460194,1.43254944,0.68669537,-0.56762767,-0.27209343
0.76285468,0.45691065,1.32029004,0.79078572,-0.55743537,-0.33387507
0.84130718,0.47667315,1.38705941,0.7858889,-0.54575223,-0.30921576
0.82078395,0.51740434,1.35063035,0.85140799,-0.5298464,-0.33400364
0.79852801,0.41097005,1.37394552,0.70711416,-0.57541751,-0.29614411
0.81490121,0.33332652,1.41872911,0.58031579,-0.6038279,-0.24698927
0.8041839,0.29907328,1.42198189,0.52883027,-0.61779799,-0.22975699
0.75686534,0.34325188,1.36464759,0.61889194,-0.60778226,-0.27564006
0.77063373,0.49845091,1.30917258,0.84678133,-0.53853885,-0.34833043
0.77677146,0.39374114,1.36122957,0.68999972,-0.58445811,-0.29625858
0.82879821,0.48956587,1.36994134,0.8092157,-0.54114313,-0.31964983
0.82212444,0.4588043,1.37619976,0.768018,-0.55407532,-0.3092137
0.82349039,0.28416204,1.44282739,0.49787681,-0.61933699,-0.21371477
0.8524279,0.4642941,1.40236232,0.76382829,-0.54993442,-0.2995342
0.74611056,0.48858826,1.28904994,0.84413048,-0.54293938,-0.35554222
0.71249198,0.35256812,1.32072065,0.65354279,-0.60822868,-0.30097467
0.89812185,0.46863106,1.44286955,0.75287499,-0.54474769,-0.28424393
0.74040409,0.34409256,1.34970789,0.62725807,-0.6093038,-0.28316551
0.89153156,0.41764634,1.45509532,0.68165308,-0.56356376,-0.26400674
0.73413844,0.41744561,1.31068468,0.74528119,-0.57654623,-0.32783557
0.83575986,0.42545538,1.40216268,0.71379075,-0.56640281,-0.28833537
0.74991982,0.39905327,1.33408498,0.70990386,-0.58416516,-0.31085059
0.90560776,0.45088392,1.45599261,0.72490948,-0.55038485,-0.27402556
0.81011705,0.47125947,1.35964519,0.79092974,-0.54952813,-0.31967027
0.7429658,0.34597052,1.35117667,0.62919086,-0.60821088,-0.28322035
0.75901125,0.43776513,1.32523803,0.76434045,-0.56622679,-0.32657532
0.82066592,0.46234379,1.37337403,0.77372647,-0.55270811,-0.31138269
0.76295526,0.28614808,1.39252036,0.52226788,-0.6295651,-0.2361198
0.81733036,0.50054372,1.35431506,0.82940012,-0.5369847,-0.3288564
0.84560658,0.4497537,1.40170808,0.74552801,-0.5561015,-0.29577431
0.88127518,0.3698287,1.46260815,0.61378612,-0.58133296,-0.24395741
0.90088447,0.3905467,1.4725455,0.63837018,-0.57166103,-0.24782348
0.88781104,0.38949826,1.4615722,0.64121733,-0.57376116,-0.25171907
0.78843735,0.3033953,1.40734808,0.54155577,-0.61891073,-0.23816047
0.82143971,0.3834078,1.4056096,0.65606968,-0.58416989,-0.27266188
0.8208042,0.51744469,1.35063336,0.85145527,-0.52982916,-0.33401058
0.85551635,0.46752181,1.4039824,0.76724704,-0.54846606,-0.29972524
0.84343734,0.44507571,1.40153394,0.73957921,-0.55809661,-0.2945035
0.75174447,0.39884604,1.33588201,0.70876643,-0.58413754,-0.30992039
0.81810587,0.51717577,1.34809457,0.85221471,-0.5299887,-0.33503893
0.87917358,0.46464583,1.42695939,0.75415224,-0.5477858,-0.28950641
0.77605573,0.40593999,1.35536082,0.70896346,-0.57930509,-0.30302347
0.8368363,0.28624123,1.45298542,0.49699605,-0.61614912,-0.21075482
0.71337685,0.38661018,1.30547792,0.7074957,-0.59210107,-0.32088552
0.87711393,0.43060527,1.43761818,0.705776,-0.56050425,-0.27517073
0.70247591,0.3659253,1.30514392,0.67985986,-0.60266801,-0.31393457
0.88327303,0.45967661,1.43255686,0.74553717,-0.54928383,-0.28586057
0.80315771,0.47155141,1.35285128,0.79428849,-0.54969357,-0.32273708
0.9001468,0.46422801,1.44630275,0.74589417,-0.54615595,-0.28166616
0.84679436,0.3164903,1.45135479,0.54244542,-0.60456043,-0.22595511
0.85719061,0.42111443,1.42321543,0.69918702,-0.56602482,-0.27807259
0.79048788,0.47929141,1.33726869,0.81081748,-0.54678081,-0.33152608
0.72451242,0.38277296,1.31777549,0.69620453,-0.59326307,-0.31343157
0.90737779,0.34729582,1.49198424,0.57105199,-0.58460644,-0.22375617
0.73892034,0.32103073,1.358256,0.59010679,-0.61933567,-0.26907607
0.87553553,0.38457667,1.45261109,0.63805559,-0.57707556,-0.25347892
